Nm_na_NmGenW	Aifreann na marbh	Aifreann,na,marbh
An_NPfDefArt	An Chorsaic	an,Corsaic
An_NPfDefArt	An Chrimé	an,Crimé
An_NPfDefArt	An Chréit	an,Créit
An_NPfDefArt	An Chróit	an,Cróit
An_NPfDefArt	An Chéinia	an,Céinia
An_NPfDefArt	An Chóiré	an,Cóiré
An_NPf	An Clár	an,Clár
An_NPmDef_A	An Comhlathas Briotanach	an,Comhlathas,Briotanach
An_NPm	An Congó	an,Congó
An_NPf	An Dagastáin	an,Dagastáin
An_NPf	An Dalmáit	an,Dalmáit
An_NPf	An Damaisc	an,Damaisc
An_NPf	An Danmhairg	an,Danmhairg
An_NPf	An Danóib	an,Danóib
An_NPm	An Dardainéil	an,Dardainéil
An_NPf	An Dnípir	an,Dnípir
An_NPf	An Dnístir	an,Dnístir
An_NPm	An Eabró	an,Eabró
An_NPm	An Eastóin	an,Eastóin
An_NPm	An Eilbe	an,Eilbe
An_NPf	An Eilvéis	an,Eilvéis
An_NPm	An Eofrait	an,Eofrait
An_NPf	An Eoraip	an,Eoraip
An_NPfDefArt	An Eoráise	an,Eoráise
An_NPfDefArt	An Fhionlainn	an,Fionlainn
An_NPfDefArt	An Fhrainc	an,Frainc
An_NPfDefArt	An Fhreaslainn	an,Freaslainn
An_NPfDefArt	An Fhrigia	an,Frigia
An_NPfDefArt	An Fhéiníc	an,Féiníc
An_NPfDefArt	An Ghabúin	an,Gabúin
An_NPfDefArt	An Ghaill	an,Gaill
An_NPfDefArt	An Ghailíl	an,Gailíl
An_NPfDefArt	An Ghailís	an,Gailís
An_NPfDefArt	An Ghaimbia	an,Gaimbia
An_NPfDefArt	An Ghainséis	an,Gainséis
An_NPfDefArt	An Ghaláit	an,Galáit
An_NPfDefArt	An Ghearmáin	an,Gearmáin
An_NPfDefArt	An Ghinéiv	an,Ginéiv
An_NPfDefArt	An Ghraonlainn	an,Graonlainn
An_NPfDefArt	An Ghréig	an,Gréig
An_NPfDefArt	An Ghuine	an,Guine
An_NPfDef_A	An Ghuine Mheánchiorclach	an,Guine,meánchiorclach
An_NPfDefArt	An Ghuáin	an,Guáin
An_NPf	An Háig	an,Háig
An_NPf	An Iarmhí	an,Iarmhí
An_NPf	An Iaráic	an,Iaráic
An_NPf	An Iaráin	an,Iaráin
An_NPf	An Ibéir	an,Ibéir
An_NPm	An Ind-Sín	an,Ind-Sín
An_NPf	An India	an,India
An_NPf	An Indinéis	an,Indinéis
An_NPf	An Iodáil	an,Iodáil
An_NPfDefArt	An Iodúimé	an,Iodúimé
An_NPm	An Iondúis	an,Iondúis
An_NPf	An Iordáin	an,Iordáin
An_NPf	An Iorua	an,Iorua
An_NPf	An Iúgslaiv	an,Iúgslaiv
An_NPm	An Iútlainn	an,Iútlainn
An_NPm	An Laitvia	an,Laitvia
An_NPf	An Laoi	an,Laoi
An_NPm	An Laplainn	an,Laplainn
An_NPm	An Leiveaint	an,Leiveaint
An_NPf	An Libia	an,Libia
An_NPm	An Libéir	an,Libéir
An_NPf	An Life	an,Life
An_NPf	An Liobáin	an,Liobáin
An_NPm	An Liotuáin	an,Liotuáin
An_NPm	An Lombaird	an,Lombaird
An_NPm	An Longfort	an,Longfort
An_NPm	An Lorráin	an,Lorráin
An_NPfDefArt	An Mhacadóin	an,Macadóin
An_NPfDefArt	An Mhalaeisia	an,Malaeisia
An_NPfDefArt	An Mhaláiv	an,Manchúir
An_NPfDefArt	An Mhanchúir	an,Manchúir
An_NPfDefArt	An Mheaspatáim	an,Measpatáim
An_NPfDefArt	An Mheilinéis	an,Meilinéis
An_NPfDefArt	An Mheánmhuir	an,Meánmhuir
An_NPfDefArt	An Mhicrinéis	an,Micrinéis
An_NPfDefArt	An Mholdáiv	an,Moldáiv
An_NPfDefArt	An Mholdóiv	an,Moldóiv
An_NPfDefArt	An Mhongóil	an,Mongóil
An_NPfDefArt	An Mhordóiv	an,Mordóiv
An_NPfDefArt	An Mhoráiv	an,Moráiv
An_NPfDefArt	An Mháratáin	an,Máratáin
An_NPfDefArt	An Mhí	an,Mí
An_NPm	An Namaib	an,Namaib
An_NPm	An Niasalainn	an,Niasalainn
An_NPf	An Nigéir	an,Nigéir
An_NPm	An Normainn	an,Normainn
An_NPf	An Nua-Shéalainn	an,Nua-Shéalainn
An_NPf	An Nígir	an,Nígir
An_NPm	An Ollainn	an,Ollainn
An_NPm	An Oranócó	an,Oranócó
An_NPf	An Ostair	an,Ostair
An_NPfDefArt	An Phalaistín	an,Palaistín
An_NPfDefArt	An Phatagóin	an,Patagóin
An_NPfDefArt	An Pholainn	an,Polainn
An_NPfDefArt	An Pholainéis	an,Polainéis
An_NPfDefArt	An Phontmhuir	an,Pontmhuir
An_NPfDefArt	An Phrúis	an,Prúis
An_NPfDefArt	An Phuinseaib	an,Puinseaib
An_NPf	An Réin	an,Réin
An_NPm	An Róidéis	an,Róidéis
An_NPf	An Róimh	an,Róimh
An_NPm	An Róin	an,Róin
An_NPf	An Rómáin	an,Rómáin
An_NPf	An Rúis	an,Rúis
An_NPm	An Sahára	an,Sahára
An_NPm	An Sceilt	an,Sceilt
An_NPf	An Spáinn	an,Spáinn
An_NPm	An Tamais	an,Tamais
An_NPf	An Tansáin	an,Tansáin
An_NPm	An Tartair	an,Tartair
An_NPf	An Tasmáin	an,Tasmáin
An_NPf	An Tibir	an,Tibir
An_NPf	An Tibéid	an,Tibéid
An_NPm	An Traí	an,Traí
An_NPf	An Tuirc	an,Tuirc
An_NPm	An Turcastáin	an,Turcastáin
An_NPm	An Tuscáin	an,Tuscáin
An_NPm	An Táidsíceastáin	an,Táidsíceastáin
An_NPf	An Téalainn	an,Téalainn
An_NPm	An Téaváin	an,Téaváin
An_NPm	An Tígris	an,Tígris
An_NPf	An Túinéis	an,Túinéis
An_NPf	An Ungáir	an,Ungáir
An_NPf	An Vatacáin	an,Vatacáin
An_NPf	An Veinéis	an,Veinéis
An_NPm	An Volga	an,Volga
An_NPf	An Volta	an,Volta
An_NPmDef_A	An tAigéan Antartach	an,Aigéan,Antartach
An_NPmDef_A	An tAigéan Artach	an,Aigéan,Artach
An_NPmDef_A	An tAigéan Atlantach	an,Aigéan,Atlantach
An_NPmDef_A	An tAigéan Ciúin	an,Aigéan,Ciúin
An_NPmDef_A	An tAigéan Indiach	an,Aigéan,Indiach
An_NPfDefArt	An tSaimbia	an,Saimbia
An_NPfDefArt	An tSairdín	an,Sairdín
An_NPfDefArt	An tSalvadóir	an,Salvadóir
An_NPfDefArt	An tSeapáin	an,Seapáin
An_NPfDefArt	An tSeicslóvaic	an,Seicslóvaic
An_NPfDefArt	An tSeineagáil	an,Seineagáil
An_NPfDefArt	An tSeirbia	an,Seirbia
An_NPfDefArt	An tSeoirsia	an,Seoirsia
An_NPfDefArt	An tSibéir	an,Sibéir
An_NPfDefArt	An tSicil	an,Sicil
An_NPfDefArt	An tSile	an,Sile
An_NPfDefArt	An tSiombáib	an,Siombáib
An_NPfDefArt	An tSionainn	an,Sionainn
An_NPfDefArt	An tSiria	an,Siria
An_NPfDefArt	An tSláine	an,Sláine
An_NPfDefArt	An tSlóivéin	an,Slóivéin
An_NPfDefArt	An tSlóvaic	an,Slóvaic
An_NPfDefArt	An tSomáil	an,Somáil
An_NPfDefArt	An tSualainn	an,Sualainn
An_NPfDefArt	An tSáír	an,Sáír
An_NPfDefArt	An tSín	an,Sín
An_NPfDefArt	An tSúdáin	an,Súdáin
An_NPfDefArt	An Éigipt	an,Éigipt
An_NPfDefArt	An Ísiltír	an,Ísiltír
An_NPfDefArt	An Úcráin	an,Úcráin
An_NPm	An Úisbéiceastáin	an,Úisbéiceastáin
An_NPm	An Úrail	an,Úrail
NPm_na_NPf	Cathair na hAilgéire	Cathair,na,Ailgéir
NPm_na_NPf	Cuan na hAraibe	Cuan,na,Araib
Nm_A	Diarmaidín riabhach	Diarmaidín,riabhach
Nm_Nf	Domhnach Cincíse	Domhnach,Cincís
Nm_Nf	Domhnach Cásca	Domhnach,Cáisc
Nm_na_Nf	Domhnach na Pailme	Domhnach,na,pailm
Nm_na_Nf	Domhnach na Páise	Domhnach,na,páis
Nm_na_Nf	Domhnach na Toirnéise	Domhnach,na,toirnéis
Nm_na_Nf	Domhnach na Tríonóide	Domhnach,na,Tríonóid
NPm_AB	Donncha rua	Donncha,rua
NPm_A	Dónall dubh	Dónall,dubh
NPm_A	Dónall gorm	Dónall,gorm
Nm_Nf	Luan Cincíse	Luan,Cincís
Nm_Nf	Luan Cásca	Luan,Cáisc
NPf_A	Meiriceá Laidineach	Meiriceá,Laidineach
Nm_A	Meiriceánach Laidineach	Meiriceánach,Laidineach
NPf_AB	Máire fhada	Máire,fada
Nf_A	Móróg chaoch	Móróg,caoch
NPm_VA	Seán báite	Seán,báite
NPm_A	Seán saor	Seán,saor
Nf_AB	Siobháinín bhuí	Siobháinín,buí
Nm_Nm	abhras cadáis	abhras,cadás
Adv:Adv_Adj	ach beag	ach,beag
Nf_A	achainí chiorclach	achainí,ciorclach
Nm_VNTIGen	adhastar traenála	adhastar,traenáil
Nm_NEn	adhmad balsa	adhmad,balsa
Nm_Nm	adhmad castáin	adhmad,castán
Nm_Nf	adhmad darach	adhmad,dair
Nm_Nf	adhmad giúise	adhmad,giúis
Nm_VA	adhmad leagtha	adhmad,leagtha
Nm_VA	adhmad lofa	adhmad,lofa
Nm_VNTGen	adhmad líneála	adhmad,líneáil
Nm_Nf	adhmad raice	adhmad,raic
Nf_VNT	admháil fiach	admháil,fiach
Nf_Pr_NfComL	aghaidh ar aghaidh	aghaidh,ar,aghaidh
Nf_A	aghaidh dhúnárasach	aghaidh,dúnárasach
Nf_VA	aibhleog dhóite	aibhleog,dóite
Nf_A	aicíd dhubh	aicíd,dubh
Nf_AB	aicíd ghasta	aicíd,gasta
Nm_A	aigéad ascorbach	aigéad,ascorbach
Nm_A	aigéad citreach	aigéad,citreach
Nm_A	aigéad hidreaclórach	aigéad,hidreaclórach
Nm_A	aigéad lachtach	aigéad,lachtach
Nm_A	aigéad sailleach	aigéad,sailleach
Nm_A	aigéad úrach	aigéad,úrach
Nf_NfL	ailse chíche	ailse,cíoch
Nf_VA	aimsir chaite	aimsir,caite
Nf_A	aimsir cholgach	aimsir,colgach
Nf_AB	aimsir fhoirfe	aimsir,foirfe
Nf_A	aimsir mhór	aimsir,mór
Nm_Nf	aingeal coimhdeachta	aingeal,coimhdeacht
Nm_VA	aingeal mallaithe	aingeal,mallaithe
Nm_VA	ainm baiste	ainm,baiste
Nm_AB	ainm briathartha	ainm,briathartha
Nm_Nm	ainm ceana	ainm,cion
Nm_Nm	ainm comhaid	ainm,comhad
Nm_A	ainm dílis	ainm,dílis
Nm_Nf	ainm muirne	ainm,muirn
Nm_Nf	ainm treibhe	ainm,treibh
Nm_Nf	ainm trádála	ainm,trádáil
Nm_na_NmGenS	ainmhí na seolta	ainmhí,na,seol
Nm_AB	airgead beo	airgead,beo
Nm_VA	airgead cúbláilte	airgead,cúbláilte
Nm_Nf	airgead luachra	airgead,luachair
Nm_Nf	airgead láimhe	airgead,lámh
Nm_VNTIGen	airgead reatha	airgead,rith
Nm_A	airgead réidh	airgead,réidh
Nm_A	airgead tirim	airgead,tirim
Nf_A	ais cheartingearach	ais,ceartingearach
Nf_A	ais chothrománach	ais,cothrománach
Nm_Nf	aisiríoch gruaige	aisiríoch,gruaig
Nf_AB	aisling chollaí	aisling,collaí
Nm_A	aiteann gaelach	aiteann,gaelach
Nm_AB	aiteann gallda	aiteann,gallda
Nm_Nm	aláram dóiteáin	aláram,dóiteán
Nm_Nf	am codlata	am,codladh
Nm_Pr_NfComE	am i láthair	am,i,láthair
Nm_Nm	am lae	am,lá
Nm_VNI	am luí	am,luí
Nm_Nm	am lóin	am,lón
Nm_A	am saor	am,saor
Nm_Nm	am sosa	am,sos
Nm_NSt	am spraoi	am,spraoi
Nm_NSt	am súgartha	am,súgradh
Nm_A	am éigin	am,éigin
Nm_A	amadán móinteach	amadán,móinteach
Nm_Nf	amharc tíre	amharc,tír
Nm_NSt	andúileach oibre	andúileach,obair
Nm_Nf	anlann raidise	anlann,raidis
Nm_Nm	anlann tartair	anlann,tartar
Nm_Nf	anraith pise	anraith,pis
Nm_VNTGen	análú tarrthála	análú,tarrtháil
Nf_Nm	aois fir	aois,fear
Nm_Nm	aonad dianchúraim	aonad,dianchúram
Nm_A	aonad réalteolaíoch	aonad,réalteolaíoch
Nm_AB	aos dána	aos,dána
Nm_VA	aos teannta	aos,teannta
Nm_A	aos óg	aos,óg
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Adv:Pr_NfL	ar aire	ar,aire
Adv:Pr_NfL	ar ais	ar,ais
Adv:Pr_NfL	ar anaiste	ar,anaiste
Adv:Pr_NmL	ar ancaire	ar,ancaire
Adv:Pr_NmL	ar atráth	ar,atráth
Adv:Pr_Nm	ar baillín	ar,baillín
Adv:Pr_Nm	ar ball	ar,ball
Adv:Pr_Nm	ar ballchrith	ar,ballchrith
Adv:Pr_Nm	ar baol	ar,baol
Adv:Pr_NmL	ar bhrú	ar,brú
Adv:Pr_Nf	ar binb	ar,binb
Adv:Pr_Nm	ar bior	ar,bior
Adv:Pr_Nm	ar bith	ar,bith
Adv:Pr_Nf	ar bogmheisce	ar,bogmheisce
Adv:Pr_Nm	ar bord	ar,bord
Adv:Pr_Nf	ar buile	ar,buile
Adv:Pr_Nm	ar bun	ar,bun
Adv:Pr_Nm	ar bustard	ar,bustard
Adv:Pr_Nf	ar bís	ar,bís
Adv:Pr_Nm	ar cead	ar,cead
Adv:Pr_Nm	ar ceal	ar,ceal
Adv:Pr_Nm	ar ceant	ar,ceant
Adv:Pr_NmL	ar choinníoll	ar,coinníoll
Adv:Pr_Nf	ar comhaois	ar,comhaois
Adv:Pr_Nf	ar comhchéim	ar,comhchéim
Adv:Pr_Nm	ar comhfhad	ar,comhfhad
Adv:Pr_Nm	ar cothrom	ar,cothrom
Adv:Pr_Nf	ar cuairt	ar,cuairt
Adv:Pr_Nm	ar céalacan	ar,céalacan
Adv:Pr_Nm	ar cíos	ar,cíos
Adv:Pr_Nf	ar cóimhéid	ar,cóimhéid
Adv:Pr_Nf	ar deic	ar,deic
Adv:Pr_Nf	ar deil	ar,deil
Adv:Pr_Nm	ar deiseal	ar,deiseal
Adv:Pr_Nf	ar deoraíocht	ar,deoraíocht
Adv:Pr_NfL	ar dheis	ar,deis
Adv:Pr_Nm	ar diúité	ar,diúité
Adv:Pr_Nm	ar domhan	ar,domhan
Adv:Pr_NmE	ar dtús	ar,tús
Adv:Pr_Nm	ar dualgas	ar,dualgas
Adv:Pr_Nf	ar dáir	ar,dáir
Adv:Pr_Nf	ar dásacht	ar,dásacht
Adv:Pr_Nm	ar dícheangal	ar,dícheangal
Adv:Pr_Nf	ar dóigh	ar,dóigh
Adv:Pr_Nf	ar faonoscailt	ar,faonoscailt
Adv:Pr_Nf	ar farraige	ar,farraige
Adv:Pr_NmL	ar fheabhas	ar,feabhas
Adv:Pr_Nm	ar fiannas	ar,fiannas
Adv:Pr_Nm	ar forbhás	ar,forbhás
Adv:Pr_Nm	ar foscadh	ar,foscadh
Adv:Pr_Nm	ar fuaidreamh	ar,fuaidreamh
Adv:Pr_Nm	ar fán	ar,fán
Adv:Pr_Nm	ar féarach	ar,féarach
Adv:Pr_Nm	ar garda	ar,garda
Adv:Pr_NmE	ar gcúl	ar,cúl
Adv:Pr_NmL	ar ghannchothú	ar,gannchothú
Adv:Pr_NfL	ar iasacht	ar,iasacht
Adv:Pr_NfL	ar intinn	ar,intinn
Adv:Pr_NmL	ar lacáiste	ar,lacáiste
Adv:Pr_NmL	ar leataobh	ar,leataobh
Adv:Pr_NmL	ar leathcheann	ar,leathcheann
Adv:Pr_NfL	ar leathmhaig	ar,leathmhaig
Adv:Pr_NfL	ar leathoscailt	ar,leathoscailt
Adv:Pr_NfL	ar leathscáil	ar,leathscáil
Adv:Pr_NfL	ar leathstuaic	ar,leathstuaic
Adv:Pr_NmL	ar leibhéal	ar,leibhéal
Adv:Pr_NfL	ar leith	ar,leith
Adv:Pr_NmL	ar leithead	ar,leithead
Adv:Pr_NmL	ar lánluas	ar,lánluas
Adv:Pr_NfL	ar líne	ar,líne
Adv:Pr_Nf	ar maidin	ar,maidin
Adv:Pr_Nm	ar maos	ar,maos
Adv:Pr_Nf	ar marthain	ar,marthain
Adv:Pr_Nf	ar mearaí	ar,mearaí
Adv:Pr_Nm	ar mearbhall	ar,mearbhall
Adv:Pr_Nf	ar meisce	ar,meisce
Adv:Pr_Nm	ar meán	ar,meán
Adv:Pr_NmL	ar mhí-eagar	ar,mí-eagar
Adv:Pr_NmL	ar mhórscála	ar,mórscála
Adv:Pr_Nf	ar muir	ar,muir
Adv:Pr_Nf	ar míthreoir	ar,míthreoir
Adv:Pr_NfE	ar ndóigh	ar,dóigh
Adv:Pr_NmL	ar neamhní	ar,neamhní
Adv:Pr_Nm	ar parúl	ar,parúl
Adv:Pr_Nm	ar pinsean	ar,pinsean
Adv:Pr_Nm	ar pár	ar,pár
Adv:Pr_NmL	ar sceabha	ar,sceabha
Adv:Pr_Nm	ar seachrán	ar,seachrán
Adv:Pr_Nf	ar seirbhís	ar,seirbhís
Adv:Pr_NmL	ar shiúl	ar,siúl
Adv:Pr_Nm	ar sochar	ar,sochar
Adv:Pr_Nm	ar sodar	ar,sodar
Adv:Pr_NfL	ar stailc	ar,stailc
Adv:Pr_NmL	ar strae	ar,strae
Adv:Pr_NmL	ar stáisiún	ar,stáisiún
Adv:Pr_Nm	ar séasúr	ar,séasúr
Adv:Pr_Nm	ar taifead	ar,taifead
Adv:Pr_Nf	ar talamh	ar,talamh
Adv:Pr_Nm	ar teaghrán	ar,teaghrán
Adv:Pr_Nm	ar tosach	ar,tosach
Adv:Pr_Nm	ar tuathal	ar,tuathal
Adv:Pr_Nf	ar tír	ar,tír
Adv:Pr_NmL	ar uachtar	ar,uachtar
Adv:Pr_NmL	ar éigean	ar,éigean
Nm_A	arbhar Indiach	arbhar,Indiach
Nm_A	arbhar milis	arbhar,milis
Nm_Nf	arcán talún	arcán,talamh
Nm_VNIGen	ardaitheoir sciála	ardaitheoir,sciáil
Nf_VNTGenL	ardscoil cheoil	ardscoil,ceol
Nm_NSt	ardán cainte	ardán,caint
Nm_Nf	ardú céime	ardú,céim
Nm_A	arán Francach	arán,Francach
Nm_Nm	arán baile	arán,baile
Nm_A	arán briosc	arán,briosc
Nm_A	arán donn	arán,donn
Nm_Nf	arán gairleoige	arán,gairleog
Nm_A	arán glas	arán,glas
Adv:Pr_Nm	as alt	as,alt
Adv:Pr_Nm	as amharc	as,amharc
Adv:Pr_Nf	as anáil	as,anáil
Adv:Pr_Nm	as baile	as,baile
Adv:Pr_Nm	as cló	as,cló
Adv:Pr_Nm	as compás	as,compás
Adv:Pr_Nm	as cosán	as,cosán
Adv:Pr_Nf	as cuimse	as,cuimse
Adv:Pr_Nf	as cuma	as,cuma
Adv:Pr_Nm	as dáta	as,dáta
Adv:Pr_Nm	as faisean	as,faisean
Adv:Pr_Nm	as fearas	as,fearas
Adv:Pr_Nf	as feidhm	as,feidhm
Adv:Pr_Nm	as gléas	as,gléas
Adv:Pr_Nf	as guais	as,guais
Adv:Pr_Nm	as ionad	as,ionad
Adv:Pr_Nm	as ionú	as,ionú
Adv:Pr_Nf	as láthair	as,láthair
Adv:Pr_Nf	as líne	as,líne
Adv:Pr_Nm	as marc	as,marc
Adv:Pr_Nf	as obair	as,obair
Adv:Pr_Nm	as ord	as,ord
Adv:Pr_Nm	as ordú	as,ordú
Adv:Pr_Nm	as raon	as,raon
Adv:Pr_Nm	as stoc	as,stoc
Adv:Pr_Nm	as séasúr	as,séasúr
Adv:Pr_Nm	as éadan	as,éadan
Adv:Pr_Nf	as úire	as,úire
Adv:Pr_Nf	as úsáid	as,úsáid
Nf_Nf	athair faoistine	athair,faoistin
Nf_NfL	athair thalún	athair,talamh
Nf_NfL	athróg thimpeallachta	athróg,timpeallacht
Nm_Nm	babhta cinnidh	babhta,cinneadh
Nm_VA	babhta cáilithe	babhta,cáilithe
Nm_VNTIGen	babhta traenála	babhta,traenáil
Nm_Nm	babhta óil	babhta,ól
Nm_Nf	bacán brád	bacán,bráid
Nm_Nf	bacán láimhe	bacán,lámh
Nm_Nf	bacán téide	bacán,téad
Nf_VA	badhbh chaointe	badhbh,caointe
Nf_AB	badhbh ghríofa	badhbh,gríofa
Nm_A	bagún stríocach	bagún,stríocach
Nm_A	baile borrach	baile,borrach
Nm_Nm	baile fearainn	baile,fearann
Nm_A	baile mór	baile,mór
Nm_Nf	bailitheoir cánach	bailitheoir,cáin
Nm_VA	bainne bearrtha	bainne,bearrtha
Nm_VA	bainne briste	bainne,briste
Nm_AB	bainne buí	bainne,buí
Nm_A	bainne caoin	bainne,caoin
Nm_AB	bainne comhdhlúite	bainne,comhdhlúite
Nm_Nf	bainne cíche	bainne,cíoch
Nm_A	bainne géar	bainne,géar
Nm_A	bainne lom	bainne,lom
Nm_A	bainne milis	bainne,milis
Nm_Nf	bainne muice	bainne,muc
Nm_AB	bainne nua	bainne,nua
Nm_A	bainne púdrach	bainne,púdrach
Nm_A	bainne ramhar	bainne,ramhar
Nm_A	bainne úr	bainne,úr
Nf_Nm	baintreach fir	baintreach,fear
Nm_A	bairín breac	bairín,breac
Nm_Nm	baitín cadáis	baitín,cadás
Nm_Nf	ball breise	ball,breis
Nm_Nf	ball broinne	ball,broinn
Nm_A	ball céadfach	ball,céadfach
Nm_Nm	ball dobhráin	ball,dobhrán
Nm_AB	ball fearga	ball,fearga
Nm_A	ball forimeallach	ball,forimeallach
Nm_A	ball gorm	ball,gorm
Nm_Nf	ball gréine	ball,grian
Nm_Nm	ball iompair	ball,iompar
Nm_Nm	ball ionannais	ball,ionannas
Nm_A	ball mí-oiriúnach	ball,mí-oiriúnach
Nm_A	ball odhar	ball,odhar
Nm_AB	ball saorga	ball,saorga
Nm_Nf	ball seirce	ball,searc
Nm_Nf	ball séire	ball,séir
Nm_A	ballach breac	ballach,breac
Nf_Nf	bantiarna talún	bantiarna,talamh
Nm_Nm	bardach teampaill	bardach,teampall
Nm_A	barr broghach	barr,broghach
Nm_AB	barr galánta	barr,galánta
Nm_Nf	barr méire	barr,méar
Nm_Nf	barr nuachta	barr,nuacht
Nm_VA	barra cuimilte	barra,cuimilte
Nm_VNTGen	barra spásála	barra,spásáil
Nm_Nm	barra taoibh	barra,taobh
Nm_VNTIGen	barántas cuardaigh	barántas,cuardach
Nm_VNTIGen	bascadh reatha	bascadh,rith
Nm_Nf	bata croise	bata,cros
Nm_Nm	bata draighin	bata,draighean
Nm_Nf	bata feola	bata,feoil
Nm_Nm	bata rámha	bata,rámh
Nm_Nm	bata scóir	bata,scór
Nm_Nm	bata siúil	bata,siúl
Nm_Pr_NmComE	beacht i gcomhlíonadh	beacht,i,comhlíonadh
Nm_Nm	beacán bearaigh	beacán,bearach
Nm_A	beag bídeach	beag,bídeach
Nm_Pr_NmComL	beagán ar bheagán	beagán,ar,beagán
Nf_A	beainín uasal	beainín,uasal
Nm_VA	bealach achtaithe	bealach,achtaithe
Nm_VA	bealach buailte	bealach,buailte
Nm_A	bealach caoch	bealach,caoch
Nm_Nm	bealach iompair	bealach,iompar
Nm_A	bealach mór	bealach,mór
Nm_VA	bealach éalaithe	bealach,éalaithe
Nm_Nf	bealadh gruaige	bealadh,gruaig
Nf_A	bean chabhrach	bean,cabhrach
Nf_VA	bean chaointe	bean,caointe
Nf_NfL	bean choibhche	bean,coibhche
Nf_NfL	bean choimhdeachta	bean,coimhdeacht
Nf_A	bean dhearg	bean,dearg
Nf_Nm	bean feasa	bean,fios
Nf_NfL	bean ghlúine	bean,glúin
Nf_VNI	bean luí	bean,luí
Nf_A	bean mháistriúil	bean,máistriúil
Nf_VA	bean phósta	bean,pósta
Nf_Nm	bean tionlacain	bean,tionlacan
Nf_Nm	bean tí	bean,teach
Nf_Nm	bean tís	bean,tíos
Nf_A	bean uasal	bean,uasal
