Adv:Pr_Nm	ar cíos	ar,cíos
Adv:Pr_NmL	ar lár	ar,lár
Adv:Pr_NfL	ar léas	ar,léas
Adv:Pr_NfL	do scíth	do,scíth
Adv:Pr_NfE	i bhfaillí	i,faillí
Adv:Pr_NmL	do cheann	do,ceann
Adv:Pr_Nm	ar cíos	ar,cíos
Nm_A	ligean rábach	ligean,rábach
Adv:Pr_NfE	i léig	i,léig
Nf_A	lile bhreac	lile,breac
Nm_Nm	limistéar údaráis	limistéar,údarás
Nf_VA	linn fholctha	linn,folctha
Nm_A	lionn dubh	lionn,dubh
Nm_A	lionn fuar	lionn,fuar
Nm_VA	lionsa comhchruinnithe	lionsa,comhchruinnithe
Nm_A	liosta dubh	liosta,dubh
Nm_Nm	liosta fíona	liosta,fíon
Nf_VA	litir mholta	litir,molta
Nf_VA	litir mhínithe	litir,mínithe
Nf_A	litir shlabhrach	litir,slabhrach
Nm_VA	liúntas cothaithe	liúntas,cothaithe
Nm_Nf	loingeas tráchtála	loingeas,tráchtáil
Nm_Nm	lon craois	lon,craos
Nm_Nf	lon creige	lon,creig
Nm_A	lon dubh	lon,dubh
Adv:Pr_NmL	ar ród	ar,ród
Nm_Nf	lorg coise	lorg,cos
Nm_Nf	loscadh daighe	loscadh,daigh
Nm_Nf	loscadh gréine	loscadh,grian
Nm_A	loscadh mailíseach	loscadh,mailíseach
Nm_A	luach ainmniúil	luach,ainmniúil
Nm_Nm	luach dráir	luach,drár
Nm_VA	luach luaite	luach,luaite
Adv:Pr_NmE	i gcleamhnas	i,cleamhnas
Nm_VA	luamhán stiúrtha	luamhán,stiúrtha
Nf_A	luch mhór	luch,mór
Nm_Nm	lucht airgid	lucht,airgead
Nm_A	lucht ceannais	lucht,ceannais
Nm_Nf	lucht coimhdeachta	lucht,coimhdeacht
Nm_Nm	lucht imris	lucht,imreas
Nm_na_Nf	lucht na ceirde	lucht,na,ceird
Nm_VA	lucht stiúrtha	lucht,stiúrtha
Nm_Nm	lucht tí	lucht,teach
Adv:Pr_Nf	ar fáir	ar,fáir
Adv:Pr_Nm	le réasún	le,réasún
Nm_Nm	lus caisil	lus,caiseal
Adv:Pr_NfL	gan mháthair	gan,máthair
Nm_Nm	lus gormáin	lus,gormán
Nm_A	lus liath	lus,liath
Nm_A	lus mín	lus,mín
Nm_A	lus mór	lus,mór
Nm_na_NmGenW	lus na bhfrancach	lus,na,francach
Nm_na_NmGenS	lus na bpéarlaí	lus,na,péarla
Nm_na_Nf	lus na gealaí	lus,na,gealach
Nm_na_Nf	lus na gile	lus,na,gile
Nm_na_Nf	lus na gréine	lus,na,grian
Nm_na_NmGenS	lus na magairlí	lus,na,magairle
Nm_na_NmGenW	lus na mbrat	lus,na,brat
Nm_na_Nf	lus na meala	lus,na,mil
Nm_na_Nf	lus na páise	lus,na,páis
Nm_na_Nf	lus na síochána	lus,na,síocháin
Nm_VA	lus spreagtha	lus,spreagtha
Nm_A	lus súgach	lus,súgach
Nm_Nf	luí gréine	luí,grian
Nm_Nf	lá bainise	lá,bainis
Nm_A	lá croídhílis	lá,croídhílis
Nm_Nm	lá fómhair	lá,fómhar
Nm_A	lá leathach	lá,leathach
Nm_A	lá mór	lá,mór
Nf_AB	láir bhán	láir,bán
Nf_AB	láir dhubh	láir,dubh
Nm_Nm	láithreán bruscair	láithreán,bruscar
Nm_Nm	láithreán fuílligh	láithreán,fuílleach
Nm_Nm	láithreán gréasáin	láithreán,gréasán
Nf_A	lámh aondathach	lámh,aondathach
Nf_VA	lámh chuidithe	lámh,cuidithe
Nf_A	lámh fhuar	lámh,fuar
Adv:Pr_Nm	in uachtar	i,uachtar
Nf_A	lámh láidir	lámh,láidir
Adv:Pr_NfL	de bhrí	de,brí
Adv:Pr_Nm	go doras	go,doras
Adv:Pr_Nf	go draid	go,draid
Nm_Nm	lár crainn	lár,crann
Nm_Nf	lár páirce	lár,páirc
Nm_Nf	lár tíre	lár,tír
Nf_VA	láthair bhuailte	láthair,buailte
Adv:Pr_Nm	as bonn	as,bonn
Adv:Pr_Nm	as seasamh	as,seasamh
Nf_A	léim thriarach	léim,triarach
Nf_Nm	léim táilliúra	léim,táilliúir
Nm_A	léiriú cabhrach	léiriú,cabhrach
Nm_A	léirmheas iontach	léirmheas,iontach
Nm_A	léitheoir craosach	léitheoir,craosach
Nf_AB	lí bhuí	lí,buí
Nf_A	líne chomhthreomhar	líne,comhthreomhar
Adv:Pr_NfE	i bpáirt	i,páirt
Nf_A	líne pharailéalach	líne,parailéalach
Nf_A	líne shingil	líne,singil
Adv:Pr_Nm	go béal	go,béal
Nm_VA	líreacán reoite	líreacán,reoite
Nm_A	lóiste Oráisteach	lóiste,Oráisteach
Nm_Nm	lón anama	lón,anam
Nm_Nm	lón bóthair	lón,bóthar
Nm_Nm	lón cogaidh	lón,cogadh
Adv:Pr_NmL	ar lár	ar,lár
Adv:Pr_Nm	ar tuathal	ar,tuathal
Nf_AB	lúb shíoraí	lúb,síoraí
Nm_A	lúbán dubh	lúbán,dubh
Nm_A	lúibín cearnach	lúibín,cearnach
Nm_A	lúibín slabhrach	lúibín,slabhrach
Adv:Pr_Nf	ar muin	ar,muin
Nm_A	mac barrúil	mac,barrúil
Nm_A	mac doscúch	mac,doscúch
Nm_A	mac drabhlásach	mac,drabhlásach
Nm_Nm	mac imrisc	mac,imreasc
Nm_Nm	mac léinn	mac,léann
Nm_Nm	mac tabhartais	mac,tabhartas
Nm_Nf	mac tíre	mac,tír
Nm_Nm	mac uchta	mac,ucht
Nm_Nm	machaire gailf	machaire,galf
Nm_A	madra Pomaránach	madra,Pomaránach
Nm_A	madra Samóideach	madra,Samóideach
Nm_A	madra Síneach	madra,Síneach
Nm_Nm	madra confaidh	madra,confadh
Nm_Nm	madra crainn	madra,crann
Nm_Nm	madra feothain	madra,feothan
Nm_A	madra garbh	madra,garbh
Nm_A	madra gearr	madra,gearr
Nm_A	madra gorm	madra,gorm
Nm_A	madra mór	madra,mór
Nm_A	magairlín meidhreach	magairlín,meidhreach
Nm_VA	maide bactha	maide,bactha
Nm_A	maide bréagach	maide,bréagach
Nm_VA	maide coiscthe	maide,coiscthe
Nm_Nf	maide coise	maide,cos
Nm_A	maide corrach	maide,corrach
Nm_Nf	maide croise	maide,cros
Nm_Nm	maide droma	maide,droim
Nm_Nm	maide gailf	maide,galf
Nm_Nm	maide gainimh	maide,gaineamh
Nm_Nf	maide garman	maide,garma
Adv:Pr_Nm	in umar	i,umar
Nm_VA	maide measctha	maide,measctha
Nm_A	maide milis	maide,milis
Nm_VA	maide snaidhmthe	maide,snaidhmthe
Adv:Pr_NmL	le chéile	le,céile
Nm_Nf	maidrín tóna	maidrín,tóin
Nf_VA	mairteoil shaillte	mairteoil,saillte
Nf_A	mallacht mhíosúil	mallacht,míosúil
Nf_AB	maoin phearsanta	maoin,pearsanta
Nf_A	maoin phríobháideach	maoin,príobháideach
Nm_Nf	maor páirce	maor,páirc
Nm_Nm	maor teallaigh	maor,teallach
Adv:Pr_NmL	mar dhíoltas	mar,díoltas
Adv:Pr_NmL	mar shampla	mar,sampla
Adv:Pr_Nm	le leictreachas	le,leictreachas
Nm_Nf	marcach toinne	marcach,tonn
Adv:Pr_NmL	do dhroim	do,droim
Nf_Nf	marcaíocht toinne	marcaíocht,tonn
Nm_A	margadh dubh	margadh,dubh
Nm_A	margadh éagórach	margadh,éagórach
Nm_VA	mart saillte	mart,saillte
Nm_Nm	mata boird	mata,bord
Nm_Nm	mata folcadáin	mata,folcadán
Nm_Nf	mata tairsí	mata,tairseach
Nm_Nm	meacan biatais	meacan,biatas
Nm_A	meacan bán	meacan,bán
Nm_Nm	meacan compair	meacan,compar
Nm_A	meacan dearg	meacan,dearg
Nm_Nm	meaisín díola	meaisín,díol
Nm_Nf	meall brád	meall,bráid
Nm_Nf	meall cáise	meall,cáis
Adv:Pr_NmL	faoi luach	faoi,luach
Adv:Pr_Nm	thar ceart	thar,ceart
Nm_Nm	meascán ime	meascán,im
Nm_A	measán Máltach	measán,Máltach
Nm_Nm	meathán íochtair	meathán,íochtar
Nm_A	meáchan caighdeánach	meáchan,caighdeánach
Nm_A	meáchan glan	meáchan,glan
Nm_Nm	mianach guail	mianach,gual
Nm_Nf	mianach talún	mianach,talamh
Nm_Nm	mianadóir guail	mianadóir,gual
Nf_AB	min bhuí	min,buí
Nm_A	mionn mór	mionn,mór
Nm_Nm	mionnú éithigh	mionnú,éitheach
Nm_Nm	miontas piobair	miontas,piobar
Nf_AB	miotóg bhuí	miotóg,buí
Nf_A	moing mhear	moing,mear
Adv:Pr_Nf	go spéir	go,spéir
Adv:Pr_NfL	ar leith	ar,leith
Nm_A	moladh gáifeach	moladh,gáifeach
Nm_A	molt cloigíneach	molt,cloigíneach
Nm_A	moncaí cochallach	moncaí,cochallach
Nf_VA	muc choillte	muc,coillte
Nm_Nm	muileann airgid	muileann,airgead
Nm_Nf	muileann coise	muileann,cos
Adv:Pr_NfL	ar mhuin	ar,muin
Nf_A	muince dhualach	muince,dualach
Nm_Nf	muineál tíre	muineál,tír
Nm_A	mullach dubh	mullach,dubh
Nm_Nm	mullach gróigeáin	mullach,gróigeán
Nf_Nm	murúch fir	murúch,fear
Adv:Pr_NmL	gan ghustal	gan,gustal
Nm_Nm	mágra éadain	mágra,éadan
Nm_Nm	máilín domlais	máilín,domlas
Nm_A	máirtín fiáin	máirtín,fiáin
Nm_A	máirtín gágach	máirtín,gágach
Nm_A	máistir leatromach	máistir,leatromach
Nm_Nm	máistir poist	máistir,post
Nm_Nm	mála bruscair	mála,bruscar
Nm_Nf	mála codlata	mála,codladh
Nm_Nf	mála diallaite	mála,diallait
Nm_Nm	mála droma	mála,droim
Nm_Nm	mála dufail	mála,dufal
Nm_Nm	mála gáis	mála,gás
Nm_Nm	mála páipéir	mála,páipéar
Nm_Nm	mála útha	mála,úth
Nf_AB	máthair chríonna	máthair,críonna
Nf_A	máthair mhór	máthair,mór
Nf_A	méar bheag	méar,beag
Nf_Nf	méar coise	méar,cos
Nf_AB	méar fhada	méar,fada
Nm_A	méaracán dearg	méaracán,dearg
Nm_A	méaracán gorm	méaracán,gorm
Nm_A	méirín dearg	méirín,dearg
Nf_Nm	méisín deannaigh	méisín,deannach
Nm_A	míogadán breac	míogadán,breac
Nm_A	míol corr	míol,corr
Nm_A	míol críon	míol,críon
Nm_A	míol crúbach	míol,crúbach
Nm_Nm	míol féir	míol,féar
Nm_A	míol gorm	míol,gorm
Nm_A	míol mór	míol,mór
Adv:Pr_NmL	le chéile	le,céile
Nm_A	móta liath	móta,liath
Nm_Nm	múchtóir dóiteáin	múchtóir,dóiteán
Nm_Nf	múirín gréine	múirín,grian
Nf_A	nathair shligreach	nathair,sligreach
Nf_A	neantóg chaoch	neantóg,caoch
Nm_Nf	neart tola	neart,toil
Adv:Pr_Nf	le fáithim	le,fáithim
Nf_A	nuacht choscrach	nuacht,coscrach
Nm_A	nuachtán laethúil	nuachtán,laethúil
Nf_AB	náire shaolta	náire,saolta
Nm_Nm	nátalas páipéir	nátalas,páipéar
Nm_Nm	néal aoibhnis	néal,aoibhneas
Nm_A	néal carnach	néal,carnach
Nm_A	néal ceathach	néal,ceathach
Nf_A	néaróg mheánach	néaróg,meánach
Adv:Pr_Nm	gan ábhar	gan,ábhar
Nm_A	nóinín mór	nóinín,mór
Nm_na_Nf	nóinín na gréine	nóinín,na,grian
Nm_VA	nóta tráchta	nóta,tráchta
Nf_AB	obair chrua	obair,crua
Nf_Nm	obair fathaigh	obair,fathach
Nf_AB	obair shóisialta	obair,sóisialta
Nf_VA	obair thagartha	obair,tagartha
Nf_Nm	obair tí	obair,teach
Nf_A	ocsaíd nítriúil	ocsaíd,nítriúil
Nm_Nm	oibrí clóis	oibrí,clós
Nm_A	oibrí cíocrach	oibrí,cíocrach
Nm_A	oibrí driopásach	oibrí,driopásach
Nm_Nf	oibrí feirme	oibrí,feirm
Nm_A	oibrí ócáideach	oibrí,ócáideach
Adv:Pr_NmL	gan chúram	gan,cúram
Nm_Nm	oifigeach custaim	oifigeach,custam
Nf_A	ola dhéanach	ola,déanach
Nm_Nm	ollamh gradaim	ollamh,gradam
Nm_Nf	ord aibítre	ord,aibítir
Nm_Nm	ord crábhaidh	ord,crábhadh
Nm_Nf	ord tábhachta	ord,tábhacht
Nf_Nf	ordóg coise	ordóg,cos
Nf_Nm	ordóg gliomaigh	ordóg,gliomach
Adv:Pr_Nf	le srón	le,srón
Nm_Nm	ordú airgid	ordú,airgead
Nm_Nm	ordú béil	ordú,béal
Nm_Nf	ordú cúirte	ordú,cúirt
Nm_Nm	orgán béil	orgán,béal
Adv:Pr_Nm	os ard	os,ard
Nm_A	othar cónaitheach	othar,cónaitheach
Nm_A	othar seachtrach	othar,seachtrach
Adv:Pr_Nf	go maidin	go,maidin
Nm_Nf	painéal gréine	painéal,grian
Nm_Nf	paiste talún	paiste,talamh
Nm_Nm	pana capaill	pana,capall
Nm_A	pas beag	pas,beag
Nm_A	peaca marfach	peaca,marfach
Nm_A	peaca solathach	peaca,solathach
Nm_na_Nf	peadairín na stoirme	peadairín,na,stoirm
Nm_VA	peann aibhsithe	peann,aibhsithe
Nm_A	peann gránbhiorach	peann,gránbhiorach
Nm_Nm	peann tobair	peann,tobar
Adv:Pr_NfL	ar leith	ar,leith
Nf_A	peasair fhiáin	peasair,fiáin
Nm_A	pianó ingearach	pianó,ingearach
Nm_Nm	pictiúr faisin	pictiúr,faisean
Nm_A	piléar fánach	piléar,fánach
Nm_A	piobar dearg	piobar,dearg
Nm_Nf	pionna gruaige	pionna,gruaig
Nm_VA	pionna iomartha	pionna,iomartha
Nm_A	pionsa maol	pionsa,maol
Nm_Nm	pionós báis	pionós,bás
Nm_A	pionós éadrom	pionós,éadrom
Nf_AB	pis chumhra	pis,cumhra
Nf_Nf	pis talún	pis,talamh
Nf_Nf	pióg feola	pióg,feoil
Nm_VA	planda dreaptha	planda,dreaptha
Nf_A	plá bhúbónach	plá,búbónach
Nm_Nf	pláinéad coimhdeachta	pláinéad,coimhdeacht
Nm_A	pláta beag	pláta,beag
Nm_Nf	pláta coire	pláta,coir
Nm_A	pláta mór	pláta,mór
Nm_A	pláta te	pláta,te
Nm_A	pléascán mór	pléascán,mór
Nm_VA	plódú tráchta	plódú,tráchta
Nm_na_Nf	plúr na gréine	plúr,na,grian
Nm_A	plúrán cloigneach	plúrán,cloigneach
Nm_Nm	pobal Dé	pobal,dia
Nm_na_NmGenS	pocaire na mbánta	pocaire,na,bán
Nm_VA	pointe fiuchta	pointe,fiuchta
Nm_VA	pointe leáite	pointe,leáite
Nm_VA	pointe sioctha	pointe,sioctha
Nm_A	pointe suntasach	pointe,suntasach
Nm_A	pointe teicniúil	pointe,teicniúil
Nm_Nf	pointe teorann	pointe,teorainn
Nm_A	polasaí eachtrach	polasaí,eachtrach
Nm_Nm	polasaí árachais	polasaí,árachas
Nm_A	port comhuaineach	port,comhuaineach
Nm_A	port srathach	port,srathach
Nm_Nf	portán faoilinne	portán,faoileann
Nm_A	portán sligreach	portán,sligreach
Nm_A	post leictreonach	post,leictreonach
Nm_VA	praghas luaite	praghas,luaite
Nf_AB	praiseach bhuí	praiseach,buí
Nm_na_NmGenS	preabaire na mbánta	preabaire,na,bán
Nm_Nm	preabaire poill	preabaire,poll
Nm_Nm	prionta ime	prionta,im
Nm_Nm	proinnteach bóthair	proinnteach,bóthar
Nm_A	práta Spáinneach	práta,Spáinneach
Nm_Nf	práta teilifíse	práta,teilifís
Nm_A	préachán breac	préachán,breac
Nm_A	préachán dubh	préachán,dubh
Nm_na_Nf	próiseas na síochána	próiseas,na,síocháin
Nm_A	punt Sasanach	punt,Sasanach
Nm_Nf	pá breoiteachta	pá,breoiteacht
Nm_VA	pá scartha	pá,scartha
Nm_A	páipéar bán	páipéar,bán
Nm_Nm	páipéar carbóin	páipéar,carbón
Nm_VA	páipéar fillte	páipéar,fillte
Nm_VA	páipéar scríofa	páipéar,scríofa
Nm_A	páipéar suarach	páipéar,suarach
Nm_A	páirtí leasmhar	páirtí,leasmhar
Nm_Nm	páiste díomhaointis	páiste,díomhaointeas
Nm_Nf	páiste gréine	páiste,grian
Nm_A	páiste seoigh	páiste,seoigh
Nm_Nm	páiste toir	páiste,tor
Adv:Pr_Nm	ar bith	ar,bith
Nf_A	péist mhór	péist,mór
Nf_A	péist ribíneach	péist,ribíneach
Nf_Nf	péist talún	péist,talamh
Nm_Nm	píobaire fraoigh	píobaire,fraoch
Nm_Nm	píobaire teallaigh	píobaire,teallach
Nm_Nm	píopa béil	píopa,béal
Nm_VA	píopa sceite	píopa,sceite
Nm_A	píosa corónach	píosa,corónach
Nm_Nf	póca ascaille	póca,ascaill
Nm_Nm	póca boid	póca,bod
Nf_A	pónaire dhubh	pónaire,dubh
Nf_A	pónaire dhuánach	pónaire,duánach
Nf_A	pónaire dhúshúileach	pónaire,dúshúileach
Nf_AB	pónaire fhada	pónaire,fada
Nf_A	pónaire ghlas	pónaire,glas
Nf_A	pónaire leathan	pónaire,leathan
Nf_A	pónaire mhór	pónaire,mór
Nm_Nm	púdar gréasa	púdar,gréas
Nm_Nf	racht feirge	racht,fearg
Nm_Nf	radharc tíre	radharc,tír
Nm_Nm	ragús óil	ragús,ól
Nf_A	raidis fhiáin	raidis,fiáin
Adv:Pr_NmL	faoi bhéal	faoi,béal
Nm_Nm	reithe cogaidh	reithe,cogadh
Nm_VA	reithe réabtha	reithe,réabtha
Adv:Pr_Nf	in aghaidh	i,aghaidh
Nm_Nm	rialtas dúchais	rialtas,dúchas
Nm_Nf	rialú cáilíochta	rialú,cáilíocht
Nm_Nf	rian coise	rian,cos
Nm_Nf	riar polaitíochta	riar,polaitíocht
Nm_Nm	ribe féir	ribe,féar
Nm_VA	righneas labhartha	righneas,labhartha
Nm_A	rilleadh maoithneach	rilleadh,maoithneach
Nf_A	riospráid inmheánach	riospráid,inmheánach
Nf_AB	riospráid shaorga	riospráid,saorga
Adv:Pr_Nf	le fána	le,fána
Nf_AB	roide bhuí	roide,buí
Adv:Pr_NmL	roimh Chríost	roimh,Críost
Adv:Pr_NmL	roimh am	roimh,am
Adv:Pr_NmE	i bhfad	i,fad
Adv:Pr_NmL	roimh ionú	roimh,ionú
Adv:Pr_NfL	roimh ré	roimh,ré
Nf_A	roinnt bheag	roinnt,beag
Nm_A	ronnach Spáinneach	ronnach,Spáinneach
Nm_Nm	rosc catha	rosc,cath
Nm_Nf	roth breise	roth,breis
Nm_Nf	roth cairte	roth,cairt
Nm_VA	roth stiúrtha	roth,stiúrtha
Nm_Nf	rothar beirte	rothar,beirt
Nf_Nf	ruaim feirge	ruaim,fearg
Nm_Nf	ruathar péiste	ruathar,péist
Nm_A	rud aisteach	rud,aisteach
Nm_A	rud annamh	rud,annamh
Adv:Pr_Nm	ar bith	ar,bith
Nm_A	rud beag	rud,beag
Nm_A	rud corr	rud,corr
Nm_A	rud fánach	rud,fánach
Adv:Pr_NfL	gan mhaith	gan,maith
Nm_A	rud éigin	rud,éigin
Nm_Nm	rácadóir airgid	rácadóir,airgead
Nm_VA	ráille cosanta	ráille,cosanta
Nm_A	rásúr leictreach	rásúr,leictreach
Nm_Nm	ráta úis	ráta,ús
Nf_A	réaltacht fhíorúil	réaltacht,fíorúil
Nm_VA	réamhléiriú feistithe	réamhléiriú,feistithe
Nm_VA	réimse lamháilte	réimse,lamháilte
Nm_A	réimse leictreach	réimse,leictreach
Nm_A	réimse maighnéadach	réimse,maighnéadach
Adv:Pr_Nm	le curaí	le,curaí
Nm_Nf	ríomhaire boise	ríomhaire,bos
Nf_A	rísheisc chraobhach	rísheisc,craobhach
Nm_A	rón mór	rón,mór
Nm_A	rós Ollannach	rós,Ollannach
Nm_VA	rós dreaptha	rós,dreaptha
Nm_Nm	saighdiúir cabhlaigh	saighdiúir,cabhlach
Nm_Nf	saighdiúir coise	saighdiúir,cos
Nm_Nm	saighdiúir portáin	saighdiúir,portán
Nm_Nm	saighdiúir tuarastail	saighdiúir,tuarastal
Nf_VA	saileach shilte	saileach,silte
Nm_Nf	sailéad uibhe	sailéad,ubh
Nm_Nf	sainchomhartha tíre	sainchomhartha,tír
Adv:Pr_NfE	i láthair	i,láthair
Nm_Nf	saochan céille	saochan,ciall
Nm_A	saol Fódlach	saol,Fódlach
Nm_A	saol anróiteach	saol,anróiteach
Nm_A	saol léanmhar	saol,léanmhar
Adv:Pr_NfL	ar luaidhe	ar,luaidhe
Nm_Nf	saor cloiche	saor,cloch
Adv:Pr_NfL	ó cháin	ó,cáin
Nm_Nf	saothar anála	saothar,anáil
Nm_A	saothar clasaiceach	saothar,clasaiceach
Adv:Pr_NfL	do chuid	do,cuid
Nm_A	saothraí cíocrach	saothraí,cíocrach
Nm_A	scadán beag	scadán,beag
Nm_A	scadán caoch	scadán,caoch
Nm_Nf	scadán carraige	scadán,carraig
Nm_Nm	scadán gainimh	scadán,gaineamh
Nm_A	scadán goirt	scadán,goirt
Nm_VA	scadán leasaithe	scadán,leasaithe
Nm_Nf	scamhadh iongan	scamhadh,ionga
Nm_VA	scannán cumhdaithe	scannán,cumhdaithe
Adv:Pr_NfE	i scornach	i,scornach
Nf_Nf	scian feola	scian,feoil
Nm_Nf	sciathán céarach	sciathán,céir
Adv:Pr_Nm	in uachtar	i,uachtar
Adv:Pr_Nf	le fána	le,fána
Adv:Pr_NmL	ar uisce	ar,uisce
Nf_Nm	scoil Domhnaigh	scoil,Domhnach
Nf_VA	scoil chónaithe	scoil,cónaithe
Nf_A	scoil ghairid	scoil,gairid
Nf_AB	scoil phoiblí	scoil,poiblí
Nf_A	scoil phríobháideach	scoil,príobháideach
Nf_AB	scoth bhuí	scoth,buí
Nf_A	screamhóg chnámhach	screamhóg,cnámhach
Nm_A	scriú sciathánach	scriú,sciathánach
Nf_AB	scríbhinn fhalsa	scríbhinn,falsa
Adv:Pr_Nf	le ceannlitir	le,ceannlitir
Adv:Pr_Nm	le deabhadh	le,deabhadh
Nm_VA	scrúdú cáilithe	scrúdú,cáilithe
Nm_Nm	scrúdú deiridh	scrúdú,deireadh
Nm_Nm	scrúdú dochtúra	scrúdú,dochtúir
Nm_Nf	scáth gréine	scáth,grian
Nm_Nm	scáthán cúlradhairc	scáthán,cúlradharc
Nm_Nf	scéal bleachtaireachta	scéal,bleachtaireacht
Nm_Nm	scéal earraigh	scéal,earrach
Nm_A	scéal grinn	scéal,grinn
Nm_A	scéal leantach	scéal,leantach
Nm_A	scéal práinneach	scéal,práinneach
Nm_A	scéal rómánsach	scéal,rómánsach
Nm_Nm	scéala báis	scéala,bás
Nf_Nf	seachaint cánach	seachaint,cáin
Nf_AB	seacláid dhorcha	seacláid,dorcha
Nm_Nm	seaicéad dinnéir	seaicéad,dinnéar
Nm_A	seaicéad teann	seaicéad,teann
Nm_na_Nf	seal na hoíche	seal,na,oíche
Nf_A	sealbhaíocht thréimhsiúil	sealbhaíocht,tréimhsiúil
Nm_A	míol mór	míol,mór
Nm_A	seangán bán	seangán,bán
Nf_A	searbhóg mhilis	searbhóg,milis
Adv:Pr_Nf	in aghaidh	i,aghaidh
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Adv:Pr_NmE	i leataobh	i,leataobh
Nm_na_NmGenW	seasamh na dtréan	seasamh,na,tréan
Nm_A	seastán mór	seastán,mór
Adv:Pr_Nm	le seabhac	le,seabhac
Adv:Pr_NfL	ar chruit	ar,cruit
Adv:Pr_NfL	ar phíb	ar,píb
Nf_Nf	seirbhís tointeála	seirbhís,tointeáil
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Adv:Pr_NfL	ar ais	ar,ais
Nm_Nf	seomra aclaíochta	seomra,aclaíocht
Nm_Nf	seomra aíochta	seomra,aíocht
Nm_Nf	seomra beirte	seomra,beirt
Nm_Nm	seomra breithimh	seomra,breitheamh
Nm_Nf	seomra cabaireachta	seomra,cabaireacht
Nm_Nm	seomra caidrimh	seomra,caidreamh
Nm_VA	seomra ceiliúrtha	seomra,ceiliúrtha
Nm_Nf	seomra codlata	seomra,codladh
Nm_Nf	seomra cúirte	seomra,cúirt
Nm_Nf	seomra dí	seomra,deoch
Nm_VA	seomra folctha	seomra,folctha
Nm_Nf	seomra gaile	seomra,gal
Nm_A	seomra singil	seomra,singil
Nm_Nm	seomra taispeántais	seomra,taispeántas
Nm_Nm	seomra teaghlaigh	seomra,teaghlach
Nm_Nm	seó agallaimh	seó,agallamh
Nm_Nm	seó bóthair	seó,bóthar
Nm_Nm	seó faisin	seó,faisean
Nm_A	seó mór	seó,mór
Nm_Nm	siléar fíona	siléar,fíon
Nm_Nm	siopa allais	siopa,allas
Nm_Nm	siopa geallearbóra	siopa,geallearbóir
Nm_A	siopa mór	siopa,mór
Nm_A	siúcra donn	siúcra,donn
Nm_A	siúcra garbh	siúcra,garbh
Nm_A	siúl giodalach	siúl,giodalach
Nm_A	siúl toirtéiseach	siúl,toirtéiseach
Nm_A	slacht mín	slacht,mín
Nm_A	slaghdán smaoiseach	slaghdán,smaoiseach
Nm_Nm	slaghdán teaspaigh	slaghdán,teaspach
Nf_Nm	slat droma	slat,droim
Nm_A	sliabh carraigeach	sliabh,carraigeach
Nm_A	sliocht tograch	sliocht,tograch
Nm_A	sliogán bíseach	sliogán,bíseach
Nm_A	sliogán caisirníneach	sliogán,caisirníneach
Nm_A	sliogán dubh	sliogán,dubh
Nm_A	sliogán marbh	sliogán,marbh
Nm_Nf	slonn ionadaíochta	slonn,ionadaíocht
Nm_A	smacht iomlán	smacht,iomlán
Nf_VA	smeachóid mhúchta	smeachóid,múchta
Nm_Nm	smúdar guail	smúdar,gual
Nm_Nm	snas béil	snas,béal
Nm_Nf	snas iongan	snas,ionga
Nm_A	snas liath	snas,liath
Nm_VA	sneachta séidte	sneachta,séidte
Nf_Nm	snáithe caoláin	snáithe,caolán
Nm_Nf	snámh deilfe	snámh,deilf
Nm_Nm	snámh droma	snámh,droim
Nm_Nf	snáth cnáibe	snáth,cnáib
Nf_A	snáthaid bheag	snáthaid,beag
Nf_A	snáthaid mhór	snáthaid,mór
Nm_A	sochar imeallach	sochar,imeallach
Nm_Nf	soiscéalaí teilifíse	soiscéalaí,teilifís
Nm_Nm	soitheach cogaidh	soitheach,cogadh
Nm_A	soitheach daor	soitheach,daor
Nm_Nf	soitheach foghla	soitheach,foghail
Nm_A	soitheach folamh	soitheach,folamh
Nm_Nm	soitheach guail	soitheach,gual
Nm_A	solad platónach	solad,platónach
Nm_Nm	solas aoil	solas,aol
Nm_A	solas fluaraiseach	solas,fluaraiseach
Nm_na_Nf	solas na gealaí	solas,na,gealach
Nm_na_Nf	solas na gréine	solas,na,grian
Nm_A	solas treorach	solas,treorach
Nm_Nf	sos beochta	sos,beocht
Nm_Nm	sos cogaidh	sos,cogadh
Nm_VA	sos míostraithe	sos,míostraithe
Nm_A	sparán teann	sparán,teann
Nf_Nm	speig damháin	speig,damhán
Nm_Nf	sprae gruaige	sprae,gruaig
Nm_A	spás bán	spás,bán
Nm_A	spás glan	spás,glan
Nf_A	spúnóg bheag	spúnóg,beag
Nf_A	spúnóg mhór	spúnóg,mór
Nf_AB	srathair fhada	srathair,fada
Nf_AB	sreang bheo	sreang,beo
Nm_A	sruth ailtéarnach	sruth,ailtéarnach
Nm_A	sruth díreach	sruth,díreach
Nm_A	sruth leictreach	sruth,leictreach
Nm_A	stagh mór	stagh,mór
Nm_Nf	staicín áiféise	staicín,áiféis
Nm_Nf	staighre bíse	staighre,bís
Nm_Nm	staighre creasa	staighre,crios
Nm_VA	staighre éalaithe	staighre,éalaithe
Nm_Nm	staigín capaill	staigín,capall
Nm_Nm	stampa poist	stampa,post
Nm_Nm	stiúrthóir gréasáin	stiúrthóir,gréasán
